ID,Marital-Status
1,Married
2,Confidential
3,Married
4,Confidential
5,Divorced
6,Divorced
7,Confidential
8,Single
9,Divorced
10,Confidential
11,Confidential
12,Married
13,Married
14,Married
15,Confidential
16,Divorced
17,Divorced
18,Divorced
19,Divorced
20,Divorced
21,Divorced
22,Confidential
23,Single
24,Single
25,Confidential
26,Divorced
27,Single
28,Divorced
29,Single
30,Divorced
31,Confidential
32,Single
33,Divorced
34,Divorced
35,Confidential
36,Confidential
37,Single
38,Single
39,Confidential
40,Divorced
41,Divorced
42,Divorced
43,Married
44,Married
45,Single
46,Confidential
47,Confidential
48,Single
49,Divorced
50,Confidential
51,Married
52,Divorced
53,Married
54,Divorced
55,Divorced
56,Single
57,Single
58,Single
59,Divorced
60,Single
61,Single
62,Divorced
63,Married
64,Confidential
65,Married
66,Divorced
67,Married
68,Married
69,Single
70,Divorced
71,Married
72,Confidential
73,Single
74,Single
75,Confidential
76,Married
77,Single
78,Confidential
79,Single
80,Single
81,Single
82,Married
83,Married
84,Confidential
85,Married
86,Single
87,Single
88,Confidential
89,Divorced
90,Married
91,Single
92,Divorced
93,Divorced
94,Single
95,Confidential
96,Divorced
97,Confidential
98,Married
99,Divorced
100,Married
101,Confidential
102,Married
103,Single
104,Confidential
105,Divorced
106,Married
107,Married
108,Confidential
109,Confidential
110,Single
111,Married
112,Confidential
113,Divorced
114,Confidential
115,Divorced
116,Confidential
117,Divorced
118,Divorced
119,Married
120,Single
121,Divorced
122,Divorced
123,Single
124,Married
125,Confidential
126,Divorced
127,Confidential
128,Single
129,Divorced
130,Divorced
131,Confidential
132,Confidential
133,Married
134,Married
135,Divorced
136,Married
137,Single
138,Confidential
139,Single
140,Divorced
141,Confidential
142,Divorced
143,Married
144,Confidential
145,Single
146,Single
147,Confidential
148,Married
149,Married
150,Divorced
151,Divorced
152,Married
153,Single
154,Divorced
155,Divorced
156,Confidential
157,Single
158,Divorced
159,Confidential
160,Single
161,Confidential
162,Married
163,Divorced
164,Married
165,Divorced
166,Confidential
167,Confidential
168,Married
169,Divorced
170,Single
171,Single
172,Divorced
173,Divorced
174,Divorced
175,Confidential
176,Single
177,Confidential
178,Divorced
179,Divorced
180,Single
181,Divorced
182,Married
183,Single
184,Single
185,Confidential
186,Single
187,Single
188,Confidential
189,Confidential
190,Confidential
191,Confidential
192,Confidential
193,Single
194,Divorced
195,Single
196,Single
197,Single
198,Confidential
199,Married
200,Single
201,Married
202,Divorced
203,Single
204,Single
205,Single
206,Single
207,Confidential
208,Confidential
209,Married
210,Confidential
211,Married
212,Confidential
213,Confidential
214,Married
215,Single
216,Married
217,Confidential
218,Confidential
219,Divorced
220,Married
221,Divorced
222,Divorced
223,Divorced
224,Single
225,Confidential
226,Confidential
227,Divorced
228,Divorced
229,Married
230,Married
231,Married
232,Divorced
233,Confidential
234,Confidential
235,Confidential
236,Confidential
237,Married
238,Married
239,Married
240,Married
241,Single
242,Divorced
243,Confidential
244,Single
245,Married
246,Confidential
247,Confidential
248,Married
249,Divorced
250,Confidential
251,Married
252,Single
253,Confidential
254,Confidential
255,Single
256,Married
257,Confidential
258,Confidential
259,Married
260,Married
261,Confidential
262,Married
263,Confidential
264,Married
265,Divorced
266,Single
267,Confidential
268,Divorced
269,Single
270,Single
271,Single
272,Married
273,Married
274,Divorced
275,Single
276,Confidential
277,Confidential
278,Divorced
279,Single
280,Single
281,Single
282,Confidential
283,Divorced
284,Married
285,Divorced
286,Single
287,Confidential
288,Married
289,Married
290,Single
291,Married
292,Single
293,Married
294,Married
295,Divorced
296,Confidential
297,Single
298,Married
299,Divorced
300,Single
301,Single
302,Divorced
303,Single
304,Single
305,Single
306,Divorced
307,Single
308,Divorced
309,Married
310,Married
311,Confidential
312,Divorced
313,Single
314,Married
315,Single
316,Married
317,Confidential
318,Married
319,Confidential
320,Single
321,Single
322,Single
323,Confidential
324,Married
325,Divorced
326,Single
327,Married
328,Divorced
329,Divorced
330,Confidential
331,Married
332,Confidential
333,Divorced
334,Single
335,Divorced
336,Confidential
337,Confidential
338,Married
339,Married
340,Single
341,Single
342,Confidential
343,Divorced
344,Married
345,Confidential
346,Single
347,Single
348,Single
349,Confidential
350,Confidential
351,Divorced
352,Married
353,Confidential
354,Married
355,Confidential
356,Married
357,Single
358,Single
359,Divorced
360,Confidential
361,Single
362,Divorced
363,Confidential
364,Confidential
365,Married
366,Single
367,Married
368,Confidential
369,Divorced
370,Confidential
371,Married
372,Divorced
373,Single
374,Divorced
375,Single
376,Single
377,Single
378,Confidential
379,Single
380,Confidential
381,Single
382,Confidential
383,Married
384,Single
385,Single
386,Confidential
387,Married
388,Single
389,Confidential
390,Confidential
391,Divorced
392,Single
393,Married
394,Married
395,Married
396,Divorced
397,Confidential
398,Confidential
399,Married
400,Married
401,Married
402,Divorced
403,Divorced
404,Confidential
405,Confidential
406,Divorced
407,Confidential
408,Confidential
409,Single
410,Divorced
411,Confidential
412,Single
413,Single
414,Confidential
415,Confidential
416,Married
417,Divorced
418,Married
419,Married
420,Divorced
421,Single
422,Confidential
423,Married
424,Single
425,Married
426,Single
427,Married
428,Confidential
429,Married
430,Divorced
431,Confidential
432,Single
433,Married
434,Divorced
435,Married
436,Confidential
437,Confidential
438,Divorced
439,Single
440,Divorced
441,Confidential
442,Single
443,Single
444,Single
445,Single
446,Confidential
447,Single
448,Single
449,Single
450,Confidential
451,Confidential
452,Confidential
453,Single
454,Confidential
455,Confidential
456,Divorced
457,Divorced
458,Married
459,Single
460,Married
461,Married
462,Married
463,Single
464,Confidential
465,Married
466,Married
467,Single
468,Confidential
469,Married
470,Confidential
471,Married
472,Married
473,Confidential
474,Married
475,Divorced
476,Confidential
477,Single
478,Single
479,Confidential
480,Single
481,Confidential
482,Confidential
483,Confidential
484,Confidential
485,Divorced
486,Single
487,Confidential
488,Confidential
489,Confidential
490,Divorced
491,Divorced
492,Confidential
493,Married
494,Divorced
495,Confidential
496,Married
497,Divorced
498,Confidential
499,Married
500,Confidential
501,Divorced
502,Divorced
503,Married
504,Married
505,Single
506,Confidential
507,Confidential
508,Divorced
509,Married
510,Confidential
511,Single
512,Married
513,Divorced
514,Married
515,Divorced
516,Single
517,Divorced
518,Single
519,Divorced
520,Married
521,Divorced
522,Divorced
523,Divorced
524,Married
525,Confidential
526,Divorced
527,Confidential
528,Single
529,Divorced
530,Married
531,Confidential
532,Divorced
533,Confidential
534,Married
535,Divorced
536,Married
537,Divorced
538,Single
539,Single
540,Confidential
541,Confidential
542,Single
543,Married
544,Confidential
545,Married
546,Confidential
547,Confidential
548,Married
549,Divorced
550,Married
551,Single
552,Single
553,Married
554,Single
555,Single
556,Divorced
557,Confidential
558,Confidential
559,Confidential
560,Single
561,Single
562,Married
563,Confidential
564,Married
565,Single
566,Single
567,Married
568,Confidential
569,Married
570,Divorced
571,Divorced
572,Single
573,Divorced
574,Married
575,Confidential
576,Confidential
577,Married
578,Single
579,Confidential
580,Married
581,Confidential
582,Divorced
583,Divorced
584,Divorced
585,Single
586,Confidential
587,Married
588,Confidential
589,Married
590,Married
591,Single
592,Divorced
593,Single
594,Confidential
595,Confidential
596,Married
597,Single
598,Married
599,Single
600,Confidential
601,Single
602,Divorced
603,Single
604,Divorced
605,Confidential
606,Single
607,Confidential
608,Single
609,Married
610,Single
611,Married
612,Single
613,Single
614,Single
615,Divorced
616,Divorced
617,Single
618,Single
619,Single
620,Divorced
621,Divorced
622,Divorced
623,Confidential
624,Confidential
625,Divorced
626,Married
627,Divorced
628,Divorced
629,Confidential
630,Divorced
631,Divorced
632,Confidential
633,Married
634,Single
635,Married
636,Confidential
637,Single
638,Single
639,Single
640,Divorced
641,Single
642,Confidential
643,Married
644,Divorced
645,Confidential
646,Divorced
647,Married
648,Married
649,Married
650,Single
651,Married
652,Married
653,Single
654,Married
655,Single
656,Divorced
657,Confidential
658,Confidential
659,Divorced
660,Confidential
661,Single
662,Married
663,Divorced
664,Divorced
665,Single
666,Divorced
667,Married
668,Married
669,Divorced
670,Confidential
671,Single
672,Single
673,Married
674,Single
675,Divorced
676,Confidential
677,Divorced
678,Divorced
679,Confidential
680,Divorced
681,Confidential
682,Divorced
683,Married
684,Divorced
685,Confidential
686,Divorced
687,Divorced
688,Confidential
689,Divorced
690,Single
691,Divorced
692,Married
693,Divorced
694,Divorced
695,Confidential
696,Single
697,Single
698,Single
699,Divorced
700,Married
701,Divorced
702,Single
703,Confidential
704,Confidential
705,Confidential
706,Confidential
707,Divorced
708,Confidential
709,Single
710,Single
711,Married
712,Divorced
713,Single
714,Confidential
715,Married
716,Single
717,Confidential
718,Married
719,Divorced
720,Married
721,Married
722,Confidential
723,Single
724,Confidential
725,Confidential
726,Divorced
727,Single
728,Single
729,Divorced
730,Confidential
731,Confidential
732,Confidential
733,Confidential
734,Divorced
735,Divorced
736,Single
737,Married
738,Divorced
739,Single
740,Confidential
741,Confidential
742,Divorced
743,Single
744,Divorced
745,Divorced
746,Divorced
747,Married
748,Confidential
749,Married
750,Single
751,Divorced
752,Divorced
753,Single
754,Confidential
755,Divorced
756,Single
757,Confidential
758,Married
759,Confidential
760,Confidential
761,Confidential
762,Married
763,Divorced
764,Single
765,Divorced
766,Single
767,Single
768,Single
769,Confidential
770,Confidential
771,Single
772,Confidential
773,Married
774,Divorced
775,Married
776,Confidential
777,Married
778,Single
779,Confidential
780,Single
781,Single
782,Single
783,Confidential
784,Divorced
785,Married
786,Single
787,Single
788,Single
789,Single
790,Confidential
791,Married
792,Confidential
793,Divorced
794,Confidential
795,Divorced
796,Confidential
797,Divorced
798,Single
799,Divorced
800,Confidential
801,Divorced
802,Confidential
803,Confidential
804,Single
805,Single
806,Married
807,Single
808,Single
809,Confidential
810,Confidential
811,Single
812,Divorced
813,Confidential
814,Confidential
815,Married
816,Divorced
817,Single
818,Single
819,Divorced
820,Divorced
821,Single
822,Divorced
823,Confidential
824,Single
825,Confidential
826,Confidential
827,Single
828,Married
829,Single
830,Divorced
831,Confidential
832,Confidential
833,Married
834,Married
835,Confidential
836,Married
837,Confidential
838,Divorced
839,Married
840,Divorced
841,Divorced
842,Married
843,Divorced
844,Single
845,Married
846,Single
847,Single
848,Single
849,Single
850,Single
851,Divorced
852,Single
853,Single
854,Divorced
855,Single
856,Divorced
857,Single
858,Confidential
859,Single
860,Confidential
861,Married
862,Single
863,Confidential
864,Divorced
865,Divorced
866,Single
867,Married
868,Confidential
869,Single
870,Single
871,Confidential
872,Single
873,Single
874,Confidential
875,Married
876,Divorced
877,Divorced
878,Confidential
879,Single
880,Married
881,Divorced
882,Confidential
883,Married
884,Married
885,Confidential
886,Divorced
887,Divorced
888,Confidential
889,Married
890,Single
891,Confidential
892,Single
893,Confidential
894,Married
895,Married
896,Single
897,Single
898,Married
899,Single
900,Confidential
901,Divorced
902,Single
903,Single
904,Married
905,Married
906,Divorced
907,Divorced
908,Divorced
909,Single
910,Confidential
911,Divorced
912,Single
913,Married
914,Confidential
915,Single
916,Single
917,Confidential
918,Divorced
919,Single
920,Married
921,Single
922,Single
923,Married
924,Married
925,Single
926,Confidential
927,Single
928,Married
929,Single
930,Married
931,Single
932,Divorced
933,Married
934,Confidential
935,Divorced
936,Married
937,Divorced
938,Married
939,Confidential
940,Married
941,Single
942,Divorced
943,Single
944,Single
945,Divorced
946,Married
947,Single
948,Single
949,Single
950,Divorced
951,Divorced
952,Divorced
953,Divorced
954,Married
955,Single
956,Confidential
957,Divorced
958,Divorced
959,Divorced
960,Married
961,Married
962,Divorced
963,Single
964,Confidential
965,Married
966,Married
967,Divorced
968,Married
969,Divorced
970,Confidential
971,Married
972,Confidential
973,Single
974,Divorced
975,Married
976,Married
977,Confidential
978,Divorced
979,Single
980,Divorced
981,Confidential
982,Confidential
983,Married
984,Divorced
985,Confidential
986,Confidential
987,Divorced
988,Single
989,Single
990,Confidential
991,Single
992,Single
993,Single
994,Confidential
995,Single
996,Confidential
997,Single
998,Divorced
999,Married
1000,Married
1001,Divorced
1002,Single
1003,Divorced
1004,Divorced
1005,Single
1006,Divorced
1007,Single
1008,Confidential
1009,Single
1010,Single
1011,Divorced
1012,Married
1013,Divorced
1014,Single
1015,Divorced
1016,Single
1017,Married
1018,Confidential
1019,Confidential
1020,Married
1021,Confidential
1022,Divorced
1023,Divorced
1024,Confidential
1025,Divorced
1026,Single
1027,Divorced
1028,Divorced
1029,Confidential
1030,Divorced
1031,Married
1032,Married
1033,Divorced
1034,Confidential
1035,Divorced
1036,Married
1037,Single
1038,Confidential
1039,Married
1040,Confidential
1041,Confidential
1042,Married
1043,Single
1044,Divorced
1045,Confidential
1046,Divorced
1047,Divorced
1048,Single
1049,Confidential
1050,Single
1051,Confidential
1052,Married
1053,Confidential
1054,Divorced
1055,Single
1056,Single
1057,Confidential
1058,Married
1059,Confidential
1060,Divorced
1061,Single
1062,Confidential
1063,Single
1064,Confidential
1065,Single
1066,Single
1067,Confidential
1068,Single
1069,Married
1070,Divorced
1071,Married
1072,Married
1073,Divorced
1074,Divorced
1075,Single
1076,Confidential
1077,Married
1078,Confidential
1079,Divorced
1080,Married
1081,Married
1082,Divorced
1083,Confidential
1084,Divorced
1085,Single
1086,Divorced
1087,Confidential
1088,Single
1089,Married
1090,Single
1091,Married
1092,Single
1093,Divorced
1094,Single
1095,Married
1096,Married
1097,Single
1098,Single
1099,Confidential
1100,Divorced
1101,Married
1102,Confidential
1103,Single
1104,Single
1105,Single
1106,Married
1107,Single
1108,Single
1109,Divorced
1110,Single
1111,Divorced
1112,Divorced
1113,Married
1114,Confidential
1115,Confidential
1116,Confidential
1117,Confidential
1118,Married
1119,Married
1120,Confidential
1121,Single
1122,Divorced
1123,Divorced
1124,Married
1125,Single
1126,Single
1127,Married
1128,Confidential
1129,Confidential
1130,Confidential
1131,Confidential
1132,Confidential
1133,Divorced
1134,Single
1135,Divorced
1136,Single
1137,Single
1138,Confidential
1139,Married
1140,Confidential
1141,Divorced
1142,Divorced
1143,Confidential
1144,Single
1145,Married
1146,Married
1147,Single
1148,Single
1149,Single
1150,Divorced
1151,Single
1152,Confidential
1153,Single
1154,Divorced
1155,Divorced
1156,Divorced
1157,Divorced
1158,Married
1159,Divorced
1160,Divorced
1161,Confidential
1162,Confidential
1163,Single
1164,Confidential
1165,Confidential
1166,Confidential
1167,Confidential
1168,Married
1169,Married
1170,Confidential
1171,Divorced
1172,Divorced
1173,Confidential
1174,Divorced
1175,Single
1176,Divorced
1177,Divorced
1178,Divorced
1179,Single
1180,Married
1181,Married
1182,Confidential
1183,Divorced
1184,Confidential
1185,Divorced
1186,Single
1187,Single
1188,Married
1189,Confidential
1190,Divorced
1191,Single
1192,Married
1193,Single
1194,Divorced
1195,Divorced
1196,Divorced
1197,Married
1198,Divorced
1199,Confidential
1200,Divorced
1201,Divorced
1202,Single
1203,Divorced
1204,Single
1205,Confidential
1206,Confidential
1207,Divorced
1208,Confidential
1209,Married
1210,Single
1211,Confidential
1212,Divorced
1213,Confidential
1214,Single
1215,Married
1216,Married
1217,Married
1218,Married
1219,Single
1220,Married
1221,Divorced
1222,Single
1223,Married
1224,Confidential
1225,Confidential
1226,Divorced
1227,Married
1228,Married
1229,Married
1230,Married
1231,Divorced
1232,Married
1233,Married
1234,Married
1235,Divorced
1236,Single
1237,Confidential
1238,Married
1239,Divorced
1240,Single
1241,Single
1242,Confidential
1243,Confidential
1244,Married
1245,Single
1246,Married
1247,Divorced
1248,Single
1249,Divorced
1250,Single
1251,Married
1252,Confidential
1253,Married
1254,Divorced
1255,Divorced
1256,Confidential
1257,Confidential
1258,Single
1259,Married
1260,Divorced
1261,Confidential
1262,Married
1263,Divorced
1264,Confidential
1265,Confidential
1266,Single
1267,Single
1268,Single
1269,Single
1270,Married
1271,Single
1272,Married
1273,Single
1274,Single
1275,Divorced
1276,Single
1277,Single
1278,Divorced
1279,Divorced
1280,Married
1281,Confidential
1282,Married
1283,Married
1284,Single
1285,Married
1286,Confidential
1287,Single
1288,Divorced
1289,Divorced
1290,Confidential
1291,Divorced
1292,Divorced
1293,Divorced
1294,Divorced
1295,Divorced
1296,Confidential
1297,Married
1298,Married
1299,Single
1300,Single
1301,Confidential
1302,Married
1303,Divorced
1304,Confidential
1305,Married
1306,Confidential
1307,Single
1308,Married
1309,Confidential
1310,Married
1311,Married
1312,Divorced
1313,Single
1314,Divorced
1315,Divorced
1316,Confidential
1317,Married
1318,Single
1319,Confidential
1320,Confidential
1321,Married
1322,Confidential
1323,Married
1324,Single
1325,Confidential
1326,Divorced
1327,Single
1328,Single
1329,Married
1330,Married
1331,Single
1332,Divorced
1333,Married
1334,Married
1335,Single
1336,Confidential
1337,Confidential
1338,Confidential
1339,Single
1340,Married
1341,Divorced
1342,Married
1343,Confidential
1344,Married
1345,Divorced
1346,Divorced
1347,Single
1348,Confidential
1349,Divorced
1350,Divorced
1351,Confidential
1352,Confidential
1353,Married
1354,Confidential
1355,Divorced
1356,Married
1357,Divorced
1358,Single
1359,Divorced
1360,Confidential
1361,Married
1362,Divorced
1363,Married
1364,Confidential
1365,Single
1366,Confidential
1367,Single
1368,Confidential
1369,Confidential
1370,Divorced
1371,Married
1372,Confidential
1373,Single
1374,Married
1375,Divorced
1376,Single
1377,Divorced
1378,Single
1379,Divorced
1380,Single
1381,Divorced
1382,Single
1383,Single
1384,Single
1385,Divorced
1386,Single
1387,Divorced
1388,Confidential
1389,Married
1390,Married
1391,Single
1392,Single
1393,Single
1394,Divorced
1395,Divorced
1396,Confidential
1397,Divorced
1398,Single
1399,Confidential
1400,Confidential
1401,Divorced
1402,Confidential
1403,Married
1404,Divorced
1405,Married
1406,Divorced
1407,Single
1408,Confidential
1409,Confidential
1410,Single
1411,Confidential
1412,Confidential
1413,Married
1414,Married
1415,Single
1416,Confidential
1417,Single
1418,Married
1419,Married
1420,Confidential
1421,Married
1422,Married
1423,Single
1424,Divorced
1425,Married
1426,Confidential
1427,Married
1428,Single
1429,Single
1430,Divorced
1431,Married
1432,Married
1433,Single
1434,Single
1435,Married
1436,Single
1437,Confidential
1438,Single
1439,Confidential
1440,Divorced
1441,Confidential
1442,Married
1443,Single
1444,Single
1445,Confidential
1446,Confidential
1447,Divorced
1448,Confidential
1449,Divorced
1450,Confidential
1451,Single
1452,Single
1453,Confidential
1454,Married
1455,Single
1456,Confidential
1457,Single
1458,Single
1459,Married
1460,Married
1461,Married
1462,Divorced
1463,Single
1464,Confidential
1465,Married
1466,Confidential
1467,Divorced
1468,Confidential
1469,Married
1470,Confidential
1471,Confidential
1472,Single
1473,Divorced
1474,Confidential
1475,Divorced
1476,Divorced
1477,Single
1478,Single
1479,Married
1480,Single
1481,Single
1482,Divorced
1483,Confidential
1484,Married
1485,Single
1486,Confidential
1487,Confidential
1488,Confidential
1489,Married
1490,Divorced
1491,Single
1492,Divorced
1493,Single
1494,Confidential
1495,Divorced
1496,Single
1497,Divorced
1498,Married
1499,Divorced
1500,Single
1501,Divorced
1502,Married
1503,Divorced
1504,Divorced
1505,Married
1506,Single
1507,Married
1508,Confidential
1509,Divorced
1510,Confidential
1511,Divorced
1512,Divorced
1513,Single
1514,Divorced
1515,Single
1516,Divorced
1517,Married
1518,Confidential
1519,Single
1520,Married
1521,Divorced
1522,Married
1523,Married
1524,Married
1525,Confidential
1526,Divorced
1527,Married
1528,Single
1529,Single
1530,Divorced
1531,Single
1532,Married
1533,Divorced
1534,Confidential
1535,Married
1536,Confidential
1537,Divorced
1538,Single
1539,Single
1540,Single
1541,Confidential
1542,Single
1543,Confidential
1544,Divorced
1545,Married
1546,Divorced
1547,Single
1548,Confidential
1549,Divorced
1550,Single
1551,Confidential
1552,Divorced
1553,Divorced
1554,Confidential
1555,Divorced
1556,Married
1557,Divorced
1558,Single
1559,Confidential
1560,Single
1561,Confidential
1562,Divorced
1563,Confidential
1564,Single
1565,Divorced
1566,Confidential
1567,Divorced
1568,Single
1569,Single
1570,Married
1571,Divorced
1572,Divorced
1573,Married
1574,Divorced
1575,Married
1576,Single
1577,Divorced
1578,Single
1579,Divorced
1580,Confidential
1581,Married
1582,Confidential
1583,Single
1584,Divorced
1585,Confidential
1586,Confidential
1587,Married
1588,Divorced
1589,Confidential
1590,Single
1591,Confidential
1592,Divorced
1593,Divorced
1594,Married
1595,Confidential
1596,Confidential
1597,Married
1598,Married
1599,Married
1600,Married
1601,Single
1602,Confidential
1603,Divorced
1604,Divorced
1605,Single
1606,Single
1607,Confidential
1608,Single
1609,Confidential
1610,Divorced
1611,Divorced
1612,Divorced
1613,Confidential
1614,Single
1615,Confidential
1616,Married
1617,Divorced
1618,Confidential
1619,Divorced
1620,Confidential
1621,Married
1622,Married
1623,Married
1624,Married
1625,Married
1626,Single
1627,Confidential
1628,Married
1629,Single
1630,Divorced
1631,Confidential
1632,Married
1633,Single
1634,Confidential
1635,Married
1636,Single
1637,Divorced
1638,Divorced
1639,Single
1640,Divorced
1641,Divorced
1642,Divorced
1643,Single
1644,Married
1645,Married
1646,Single
1647,Married
1648,Married
1649,Confidential
1650,Married
1651,Single
1652,Divorced
1653,Single
1654,Confidential
1655,Confidential
1656,Married
1657,Married
1658,Married
1659,Divorced
1660,Confidential
1661,Married
1662,Single
1663,Married
1664,Married
1665,Divorced
1666,Confidential
1667,Confidential
1668,Single
1669,Married
1670,Divorced
1671,Divorced
1672,Single
1673,Confidential
1674,Single
1675,Confidential
1676,Divorced
1677,Married
1678,Single
1679,Single
1680,Divorced
1681,Divorced
1682,Married
1683,Confidential
1684,Divorced
1685,Divorced
1686,Confidential
1687,Confidential
1688,Single
1689,Single
1690,Married
1691,Confidential
1692,Married
1693,Married
1694,Confidential
1695,Married
1696,Confidential
1697,Confidential
1698,Single
1699,Single
1700,Divorced
1701,Confidential
1702,Divorced
1703,Married
1704,Divorced
1705,Confidential
1706,Divorced
1707,Married
1708,Divorced
