Species,Average Lifespan (Years),Habitat,Conservation Status
African Elephant,60,Grasslands,Vulnerable
Bengal Tiger,15,Forests,Endangered
Blue Whale,80,Ocean,Endangered
Giant Panda,20,Temperate Forest,Vulnerable
Komodo Dragon,30,Islands,Vulnerable
Polar Bear,25,Arctic,Vulnerable
Red Fox,5,Various,Least Concern
Emperor Penguin,20,Antarctic,Near Threatened
Koala,13,Eucalyptus Forests,Vulnerable
Orangutan,35,Rainforests,Critically Endangered
Snow Leopard,15,Mountain Ranges,Vulnerable
Bald Eagle,20,"Forests, Seacoasts",Least Concern
African Lion,14,Savanna,Vulnerable
Green Sea Turtle,80,"Oceans, Beaches",Endangered
Gray Wolf,8,"Forests, Tundra",Least Concern